container,type,key,value,found_in_repo
notification-celery-beat,environment key,DD_PROFILING_ENABLE_CODE_PROVENANCE,True,False
datadog-agent,environment key,DD_APM_NON_LOCAL_TRAFFIC,true,False
datadog-agent,environment key,DD_LOGS_ENABLED,true,False
datadog-agent,environment key,DD_PROCESS_AGENT_ENABLED,true,False
datadog-agent,environment key,ECS_FARGATE,true,False
datadog-agent,environment key,DD_APM_ENABLED,true,False
datadog-agent,environment key,DD_APM_FEATURES,enable_cid_stats,False
datadog-agent,environment key,DD_PROFILING_ENABLE_CODE_PROVENANCE,true,False
notification-celery,environment key,DD_PROFILING_ENABLE_CODE_PROVENANCE,True,False
datadog-agent,environment key,DD_APM_NON_LOCAL_TRAFFIC,true,False
datadog-agent,environment key,DD_LOGS_ENABLED,true,False
datadog-agent,environment key,DD_PROCESS_AGENT_ENABLED,true,False
datadog-agent,environment key,ECS_FARGATE,true,False
datadog-agent,environment key,DD_APM_ENABLED,true,False
datadog-agent,environment key,DD_APM_FEATURES,enable_cid_stats,False
datadog-agent,environment key,DD_PROFILING_ENABLE_CODE_PROVENANCE,true,False
notification-api,environment key,DD_PROFILING_ENABLE_CODE_PROVENANCE,True,False
datadog-agent,environment key,DD_APM_NON_LOCAL_TRAFFIC,true,False
datadog-agent,environment key,DD_LOGS_ENABLED,true,False
datadog-agent,environment key,DD_PROCESS_AGENT_ENABLED,true,False
datadog-agent,environment key,ECS_FARGATE,true,False
datadog-agent,environment key,DD_APM_ENABLED,true,False
datadog-agent,environment key,DD_APM_FEATURES,enable_cid_stats,False
datadog-agent,environment key,DD_PROFILING_ENABLE_CODE_PROVENANCE,true,False
notification-celery-beat,environment key,DD_PROFILING_ENABLE_CODE_PROVENANCE,True,False
datadog-agent,environment key,DD_APM_NON_LOCAL_TRAFFIC,true,False
datadog-agent,environment key,DD_LOGS_ENABLED,true,False
datadog-agent,environment key,DD_PROCESS_AGENT_ENABLED,true,False
datadog-agent,environment key,ECS_FARGATE,true,False
datadog-agent,environment key,DD_APM_ENABLED,true,False
datadog-agent,environment key,DD_APM_FEATURES,enable_cid_stats,False
datadog-agent,environment key,DD_PROFILING_ENABLE_CODE_PROVENANCE,true,False
notification-celery,environment key,DD_PROFILING_ENABLE_CODE_PROVENANCE,True,False
datadog-agent,environment key,DD_APM_NON_LOCAL_TRAFFIC,true,False
datadog-agent,environment key,DD_LOGS_ENABLED,true,False
datadog-agent,environment key,DD_PROCESS_AGENT_ENABLED,true,False
datadog-agent,environment key,ECS_FARGATE,true,False
datadog-agent,environment key,DD_APM_ENABLED,true,False
datadog-agent,environment key,DD_APM_FEATURES,enable_cid_stats,False
datadog-agent,environment key,DD_PROFILING_ENABLE_CODE_PROVENANCE,true,False
notification-api,environment key,DD_PROFILING_ENABLE_CODE_PROVENANCE,True,False
datadog-agent,environment key,DD_APM_NON_LOCAL_TRAFFIC,true,False
datadog-agent,environment key,DD_LOGS_ENABLED,true,False
datadog-agent,environment key,DD_PROCESS_AGENT_ENABLED,true,False
datadog-agent,environment key,ECS_FARGATE,true,False
datadog-agent,environment key,DD_APM_ENABLED,true,False
datadog-agent,environment key,DD_APM_FEATURES,enable_cid_stats,False
datadog-agent,environment key,DD_PROFILING_ENABLE_CODE_PROVENANCE,true,False
notification-celery-beat,environment key,DD_PROFILING_ENABLE_CODE_PROVENANCE,True,False
datadog-agent,environment key,DD_APM_NON_LOCAL_TRAFFIC,true,False
datadog-agent,environment key,DD_LOGS_ENABLED,true,False
datadog-agent,environment key,DD_PROCESS_AGENT_ENABLED,true,False
datadog-agent,environment key,ECS_FARGATE,true,False
datadog-agent,environment key,DD_APM_ENABLED,true,False
datadog-agent,environment key,DD_APM_FEATURES,enable_cid_stats,False
datadog-agent,environment key,DD_PROFILING_ENABLE_CODE_PROVENANCE,true,False
notification-celery,environment key,DD_PROFILING_ENABLE_CODE_PROVENANCE,True,False
datadog-agent,environment key,DD_APM_NON_LOCAL_TRAFFIC,true,False
datadog-agent,environment key,DD_LOGS_ENABLED,true,False
datadog-agent,environment key,DD_PROCESS_AGENT_ENABLED,true,False
datadog-agent,environment key,ECS_FARGATE,true,False
datadog-agent,environment key,DD_APM_ENABLED,true,False
datadog-agent,environment key,DD_APM_FEATURES,enable_cid_stats,False
datadog-agent,environment key,DD_PROFILING_ENABLE_CODE_PROVENANCE,true,False
notification-api,environment key,DD_PROFILING_ENABLE_CODE_PROVENANCE,True,False
datadog-agent,environment key,DD_APM_NON_LOCAL_TRAFFIC,true,False
datadog-agent,environment key,DD_LOGS_ENABLED,true,False
datadog-agent,environment key,DD_PROCESS_AGENT_ENABLED,true,False
datadog-agent,environment key,ECS_FARGATE,true,False
datadog-agent,environment key,DD_APM_ENABLED,true,False
datadog-agent,environment key,DD_APM_FEATURES,enable_cid_stats,False
datadog-agent,environment key,DD_PROFILING_ENABLE_CODE_PROVENANCE,true,False
notification-celery-beat,environment key,DD_PROFILING_ENABLE_CODE_PROVENANCE,True,False
datadog-agent,environment key,DD_APM_NON_LOCAL_TRAFFIC,true,False
datadog-agent,environment key,DD_LOGS_ENABLED,true,False
datadog-agent,environment key,DD_PROCESS_AGENT_ENABLED,true,False
datadog-agent,environment key,ECS_FARGATE,true,False
datadog-agent,environment key,DD_APM_ENABLED,true,False
datadog-agent,environment key,DD_APM_FEATURES,enable_cid_stats,False
